Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
Luigi's Mansion,3.33 million,2001-09-14,Action-adventure,Nintendo EAD,Nintendo,GameCube
Pikmin,1.60 million,2001-10-26,Real-time strategypuzzle,Nintendo EAD,Nintendo,GameCube
Star Wars Rogue Squadron II: Rogue Leader,1.13 million,2001-11-18,Action,Factor 5,LucasArts,GameCube
Super Smash Bros. Melee,7.41 million,2001-11-21,Fighting,HAL Laboratory,Nintendo,GameCube
Animal Crossing,2.71 million,2001-12-14,Social simulation,Nintendo EAD,Nintendo,GameCube
Sonic Adventure 2: Battle,1.73 million,2001-12-20,Platformer,Sonic Team USA,Sega,GameCube
Resident Evil,1.35 million,2002-03-22,Survival horror,Capcom Production Studio 4,Capcom,GameCube
Super Mario Sunshine,5.91 million,2002-07-19,Platformer,Nintendo EAD,Nintendo,GameCube
Star Fox Adventures,1.82 million,2002-09-23,Action-adventure,Rare,Nintendo,GameCube
Mario Party 4,2.46 million,2002-10-21,Party,Hudson Soft,Nintendo,GameCube
Sonic Mega Collection,1.37 million,2002-11-10,Compilation,Sonic Team,Sega,GameCube
Resident Evil Zero,1.25 million,2002-11-12,Survival horror,Capcom,Capcom,GameCube
Metroid Prime,2.84 million,2002-11-17,Action-adventure,Retro Studios,Nintendo,GameCube
The Legend of Zelda: The Wind Waker,4.43 million,2002-12-13,Action-adventure,Nintendo EAD,Nintendo,GameCube
Soulcalibur II,1.09 million,2003-03-27,Fighting,Namco,Namco,GameCube
Sonic Adventure DX: Director's Cut,1.60 million,2003-06-18,Action-adventure Platformer,Sonic Team,Sega,GameCube
Kirby Air Ride,1.35 million,2003-07-11,Racing,HAL Laboratory,Nintendo,GameCube
Mario Golf: Toadstool Tour,1.27 million,2003-07-28,Sports,Camelot Software Planning,Nintendo,GameCube
Final Fantasy Crystal Chronicles,1.30 million,2003-08-08,Action role-playing,The Game Designers Studio,Nintendo,GameCube
Mario Kart: Double Dash,6.96 million,2003-11-07,Racing,Nintendo EAD,Nintendo,GameCube
Mario Party 5,2.17 million,2003-11-10,Party,Hudson Soft,Nintendo,GameCube
Pokémon Colosseum,2.41 million,2003-11-21,Role-playing,Genius Sonority,NintendoThe Pokémon Company,GameCube
Donkey Konga,1.18 million,2003-12-12,Music,Namco,Nintendo,GameCube
Sonic Heroes,1.42 million,2003-12-30,Action-adventure Platformer,Sonic Team,Sega,GameCube
Pikmin 2,1.12 million,2004-04-29,Real-time strategypuzzle,Nintendo EAD,Nintendo,GameCube
Paper Mario: The Thousand-Year Door,1.91 million,2004-07-22,Role-playing,Intelligent Systems,Nintendo,GameCube
Mario Power Tennis,1.16 million,2004-10-28,Sports,Camelot Software Planning,Nintendo,GameCube
Metroid Prime 2: Echoes,1.10 million,2004-11-15,Action-adventure,Retro Studios,Nintendo,GameCube
Mario Party 6,1.63 million,2004-11-18,Party,Hudson Soft,Nintendo,GameCube
Resident Evil 4,1.60 million,2005-01-11,Survival horror,Capcom Production Studio 4,Capcom,GameCube
Star Fox: Assault,1.06 million,2005-02-14,Scrolling shooterthird-person shooter,Namco,Nintendo,GameCube
Mario Superstar Baseball,1.05 million,2005-07-21,Sports,Namco,Nintendo,GameCube
Pokémon XD: Gale of Darkness,1.42 million,2005-08-04,Role-playing,Genius Sonority,NintendoThe Pokémon Company,GameCube
Sonic Gems Collection,1 million,2005-08-11,Compilation,Sonic Team,Sega,GameCube
Mario Party 7,2.08 million,2005-11-07,Party,Hudson Soft,Nintendo,GameCube
Super Mario Strikers,1.60 million,2005-11-18,Sports,Next Level Games,Nintendo,GameCube
The Legend of Zelda: Twilight Princess,1.43 million,2006-12-02,Action-adventure,Nintendo EAD,Nintendo,GameCube
