Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
Call of Duty 2,1.4 million,2005-11-22,First-person shooter,Infinity Ward,Activision,Xbox 360
Perfect Dark Zero,1.5 million,2005-11-22,First-person shooterstealth,Rare,Microsoft Game Studios,Xbox 360
Dead or Alive 4,1 million,2005-12-29,Fighting,Team Ninja,Tecmo,Xbox 360
Fight Night Round 3,1.29 million,2006-02-20,Sports,EA Chicago,EA Sports,Xbox 360
Tom Clancy's Ghost Recon Advanced Warfighter,1.411 million,2006-03-09,Tactical shooter,Ubisoft ParisRed Storm Entertainment,Ubisoft,Xbox 360
The Elder Scrolls IV: Oblivion,1.872 million,2006-03-20,Action role-playing,Bethesda Game Studios,Bethesda Softworks2K Games,Xbox 360
Uno[d],2.068 million,2006-05-09,Card game,Carbonated Games,Microsoft Game Studios,Xbox 360
Dead Rising,1.8 million,2006-08-08,Survival horrorbeat ‘em up,Capcom Production Studio 1,Capcom,Xbox 360
Madden NFL 07,1.72 million,2006-08-22,Sports,EA Tiburon,EA Sports,Xbox 360
Saints Row,2 million,2006-08-29,Action-adventure,Volition,THQ,Xbox 360
Marvel: Ultimate Alliance,2.08 million,2006-10-24,Action role-playing,Raven Software,WW: ActivisionJP: Interchannel,Xbox 360
Gears of War,5 million,2006-11-07,Third-person shooter,Epic Games,Microsoft Game Studios,Xbox 360
Call of Duty 3,1.534 million,2006-11-07,First-person shooter,Treyarch,Activision,Xbox 360
Viva Piñata,1 million,2006-11-09,Life simulation,Rare,Microsoft Game Studios,Xbox 360
Sneak King,3.2 million,2006-11-19,"Stealth-action, advergame",Blitz Games Studios,King Games,Xbox 360
Tom Clancy's Rainbow Six: Vegas,1.591 million,2006-11-22,Tactical shooterfirst-person shooter,Ubisoft Montreal,Ubisoft,Xbox 360
Lost Planet: Extreme Condition,1.6 million,2006-12-21,Third-person shooter,Capcom,Capcom,Xbox 360
Crackdown,1.5 million,2007-02-20,Action-adventure,Realtime Worlds,Microsoft Game Studios,Xbox 360
Tom Clancy's Ghost Recon Advanced Warfighter 2,1 million,2007-03-06,Tactical shooter,Ubisoft ParisRed Storm Entertainment,Ubisoft,Xbox 360
Guitar Hero II,2 million,2007-04-03,Musicrhythm,Harmonix,Activision,Xbox 360
Forza Motorsport 2,2.674 million,2007-05-29,Racing,Turn 10 Studios,Microsoft Game Studios,Xbox 360
Madden NFL 08,1.51 million,2007-08-14,Sports,EA Tiburon,EA Sports,Xbox 360
BioShock,1.5 million,2007-08-21,First-person shooter,2K Boston2K Australia,2K Games,Xbox 360
Halo 3,14.5 million,2007-09-25,First-person shooter,Bungie,Microsoft Game Studios,Xbox 360
The Orange Box,1 million,2007-10-10,First-person shooterpuzzlecompilation,Valve,Valve,Xbox 360
Guitar Hero III: Legends of Rock,1.652 million,2007-10-28,Musicrhythm,Neversoft,Activision,Xbox 360
Call of Duty 4: Modern Warfare,4.211 million,2007-11-05,First-person shooter,Infinity Ward,Activision,Xbox 360
Lego Star Wars: The Complete Saga,2.36 million,2007-11-06,Action-adventure,Traveller's Tales,LucasArts,Xbox 360
Assassin's Creed,2.585 million,2007-11-13,Action-adventurestealth,Ubisoft Montreal,Ubisoft,Xbox 360
Mass Effect,1.6 million,2007-11-20,Action role-playing,BioWare,Microsoft Game Studios,Xbox 360
Rock Band,1.75 million,2007-11-20,Musicrhythm,Harmonix,MTV Games,Xbox 360
