Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
Dead Rising 3,3.10 million,2013-11-22,Action-adventuresurvival horror,Capcom Vancouver,Xbox Game Studios,Xbox One
Forza Motorsport 5,2 million,2013-11-22,Racing,Turn 10 Studios,Xbox Game Studios,Xbox One
Ryse: Son of Rome,1.28 million,2013-11-22,Action-adventure · hack and slash,Crytek,Xbox Game Studios,Xbox One
The Witcher 3: Wild Hunt,4.3 million,2015-05-19,Action role-playing,CD Projekt Red,CD Projekt,Xbox One
Forza Motorsport 6,1 million,2015-09-15,Racing,Turn 10 Studios,Microsoft Studios,Xbox One
Halo 5: Guardians,5 million,2015-10-27,First-person shooter,343 Industries,Xbox Game Studios,Xbox One
Rise of the Tomb Raider,1 million,2015-11-10,Action-adventure,Crystal Dynamics,Xbox Game Studios,Xbox One
Ark: Survival Evolved,1.5 million,2017-08-29,Action-adventuresurvival,Studio Wildcard,Studio Wildcard,Xbox One
Cuphead,3.00 million,2017-09-29,Run and gun,StudioMDHR,StudioMDHR,Xbox One
Monster Hunter World,1.78 million,2018-01-26,Action role-playing,Capcom,Capcom,Xbox One
PUBG: Battlegrounds,9 million,2018-09-04,Battle royale,PUBG Studios,Krafton,Xbox One
Cyberpunk 2077,2.33 million,2020-12-10,Action role-playing,CD Projekt Red,CD Projekt,Xbox One
